kind;id;etag;selfLink;volumeInfo.title;volumeInfo.authors;volumeInfo.publisher;volumeInfo.publishedDate;volumeInfo.description;volumeInfo.industryIdentifiers;volumeInfo.readingModes.text;volumeInfo.readingModes.image;volumeInfo.printType;volumeInfo.categories;volumeInfo.maturityRating;volumeInfo.allowAnonLogging;volumeInfo.contentVersion;volumeInfo.panelizationSummary.containsEpubBubbles;volumeInfo.panelizationSummary.containsImageBubbles;volumeInfo.imageLinks.smallThumbnail;volumeInfo.imageLinks.thumbnail;volumeInfo.language;volumeInfo.previewLink;volumeInfo.infoLink;volumeInfo.canonicalVolumeLink;saleInfo.country;saleInfo.saleability;saleInfo.isEbook;saleInfo.listPrice.amount;saleInfo.listPrice.currencyCode;saleInfo.retailPrice.amount;saleInfo.retailPrice.currencyCode;saleInfo.buyLink;saleInfo.offers;accessInfo.country;accessInfo.viewability;accessInfo.embeddable;accessInfo.publicDomain;accessInfo.textToSpeechPermission;accessInfo.epub.isAvailable;accessInfo.epub.acsTokenLink;accessInfo.pdf.isAvailable;accessInfo.pdf.acsTokenLink;accessInfo.webReaderLink;accessInfo.accessViewStatus;accessInfo.quoteSharingAllowed;searchInfo.textSnippet;volumeInfo.subtitle;volumeInfo.pageCount;volumeInfo.averageRating;volumeInfo.ratingsCount
books#volume;6Co0EAAAQBAJ;3jMHX/lGTjI;https://www.googleapis.com/books/v1/volumes/6Co0EAAAQBAJ;Série IDP - Internet & Regulação;['Laura Schertel Mendes', 'Ana Frazão V. De Mello', 'Danilo Doneda'];Saraiva Educação S.A.;2021-07-21;Nenhum tema é mais atual do que a regulação da Internet. Não obstante, o Direito como espaço de regulamentação do cotidiano vem pautando importantes avanços no entendimento do tema. Com o intuito de ordenar o comportamento social, as normas vêm passando por um intenso processo de atualização para corresponder às demandas contemporâneas sobre o assunto. Nesse sentido, Laura Schertel Mendes, Sérgio Alves Jr. e Danilo Doneda coordenaram o trabalho de organização de textos que constituem a presente coletânea, de leitura obrigatória sobre o tema. No livro, o leitor encontrará importantes reflexões sobre o desenvolvimento e a atualização de políticas públicas e também sobre o avanço da estrutura jurídica de privacidade e proteção de dados. Laura Schertel Mendes aporta na obra sua ótica sobre o Direito Privado. Sérgio Alves Jr. contribui com sua ampla experiência em telecomunicação, redes sociais e proteção de dados. Danilo Doneda traz à baila temas relevantes como a privacidade e proteção de dados pessoais. Essa parceria, aliada a contribuições relevantes e qualificadas dos demais autores, traz uma perspectiva inovadora para o entendimento de um tema tão complexo e caro nos tempos modernos.;[{'type': 'ISBN_13', 'identifier': '9786555592160'}, {'type': 'ISBN_10', 'identifier': '6555592168'}];True;True;BOOK;['Reference'];NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=6Co0EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=6Co0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=6Co0EAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=1&source=gbs_api;https://play.google.com/store/books/details?id=6Co0EAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=6Co0EAAAQBAJ;BR;FOR_SALE;True;153.0;BRL;153.0;BRL;https://play.google.com/store/books/details?id=6Co0EAAAQBAJ&rdid=book-6Co0EAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 153000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 153000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/S%C3%A9rie_IDP_Internet_Regula%C3%A7%C3%A3o-sample-epub.acsm?id=6Co0EAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/S%C3%A9rie_IDP_Internet_Regula%C3%A7%C3%A3o-sample-pdf.acsm?id=6Co0EAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=6Co0EAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;Laura Schertel Mendes aporta na obra sua ótica sobre o Direito Privado. Sérgio Alves Jr. contribui com sua ampla experiência em telecomunicação, redes sociais e proteção de dados.;;;;
books#volume;IJYvEAAAQBAJ;c8X1TfF9m6k;https://www.googleapis.com/books/v1/volumes/IJYvEAAAQBAJ;A revolução do trabalho remoto;['Tsedal Neeley'];Saraiva Educação S.A.;2021-06-24;;[{'type': 'ISBN_13', 'identifier': '9786558100775'}, {'type': 'ISBN_10', 'identifier': '6558100770'}];True;True;BOOK;;NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=IJYvEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=IJYvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=IJYvEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=2&source=gbs_api;https://play.google.com/store/books/details?id=IJYvEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=IJYvEAAAQBAJ;BR;FOR_SALE;True;31.0;BRL;31.0;BRL;https://play.google.com/store/books/details?id=IJYvEAAAQBAJ&rdid=book-IJYvEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 31000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 31000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/A_revolu%C3%A7%C3%A3o_do_trabalho_remoto-sample-epub.acsm?id=IJYvEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/A_revolu%C3%A7%C3%A3o_do_trabalho_remoto-sample-pdf.acsm?id=IJYvEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=IJYvEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;Um guia para o sucesso de equipes que trabalham de qualquer lugar;;;
books#volume;HJYvEAAAQBAJ;OoshBww+hiQ;https://www.googleapis.com/books/v1/volumes/HJYvEAAAQBAJ;Saiba dizer não sem magoar as pessoas;['Reinaldo Polito'];Saraiva Educação S.A.;2021-05-21;;[{'type': 'ISBN_13', 'identifier': '9786558100720'}, {'type': 'ISBN_10', 'identifier': '655810072X'}];True;True;BOOK;;NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=HJYvEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=HJYvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=HJYvEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=3&source=gbs_api;https://play.google.com/store/books/details?id=HJYvEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=HJYvEAAAQBAJ;BR;FOR_SALE;True;14.9;BRL;14.9;BRL;https://play.google.com/store/books/details?id=HJYvEAAAQBAJ&rdid=book-HJYvEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 14900000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 14900000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/Saiba_dizer_n%C3%A3o_sem_magoar_as_pessoas-sample-epub.acsm?id=HJYvEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Saiba_dizer_n%C3%A3o_sem_magoar_as_pessoas-sample-pdf.acsm?id=HJYvEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=HJYvEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;Como se comunicar de forma profissional;;;
books#volume;XzIiEAAAQBAJ;6GRZLYsKVeo;https://www.googleapis.com/books/v1/volumes/XzIiEAAAQBAJ;Manual de Direito Empresarial - 11ª Edição 2021;['Ricardo Negrão'];Saraiva Educação S.A.;2021-04-01;;[{'type': 'ISBN_13', 'identifier': '9786555595581'}, {'type': 'ISBN_10', 'identifier': '6555595582'}];True;True;BOOK;['Reference'];NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=XzIiEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=XzIiEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=XzIiEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=4&source=gbs_api;https://play.google.com/store/books/details?id=XzIiEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=XzIiEAAAQBAJ;BR;FOR_SALE;True;112.0;BRL;112.0;BRL;https://play.google.com/store/books/details?id=XzIiEAAAQBAJ&rdid=book-XzIiEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 112000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 112000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/Manual_de_Direito_Empresarial_11%C2%AA_Edi%C3%A7-sample-epub.acsm?id=XzIiEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Manual_de_Direito_Empresarial_11%C2%AA_Edi%C3%A7-sample-pdf.acsm?id=XzIiEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=XzIiEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;;;;
books#volume;5xcfEAAAQBAJ;07npR4/VNyw;https://www.googleapis.com/books/v1/volumes/5xcfEAAAQBAJ;Direito empresarial sistematizado;['Tarcisio Teixeira'];Saraiva Educação S.A.;2021-03-28;;[{'type': 'ISBN_13', 'identifier': '9786555595888'}, {'type': 'ISBN_10', 'identifier': '6555595884'}];True;True;BOOK;['Reference'];NOT_MATURE;False;preview-1.0.0;False;False;http://books.google.com/books/content?id=5xcfEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=5xcfEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=5xcfEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=5&source=gbs_api;https://play.google.com/store/books/details?id=5xcfEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=5xcfEAAAQBAJ;BR;FOR_SALE;True;112.0;BRL;112.0;BRL;https://play.google.com/store/books/details?id=5xcfEAAAQBAJ&rdid=book-5xcfEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 112000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 112000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/Direito_empresarial_sistematizado-sample-epub.acsm?id=5xcfEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Direito_empresarial_sistematizado-sample-pdf.acsm?id=5xcfEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=5xcfEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;;;;
books#volume;bs4iEAAAQBAJ;r8665P7FW7c;https://www.googleapis.com/books/v1/volumes/bs4iEAAAQBAJ;Prática Jurídica - Trabalhista;['Leone Pereira da Silva Junior'];Saraiva Educação S.A.;2021-03-28;;[{'type': 'ISBN_13', 'identifier': '9786555598384'}, {'type': 'ISBN_10', 'identifier': '6555598387'}];True;True;BOOK;['Reference'];NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=bs4iEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=bs4iEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=bs4iEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=6&source=gbs_api;https://play.google.com/store/books/details?id=bs4iEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=bs4iEAAAQBAJ;BR;FOR_SALE;True;140.0;BRL;140.0;BRL;https://play.google.com/store/books/details?id=bs4iEAAAQBAJ&rdid=book-bs4iEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 140000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 140000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/Pr%C3%A1tica_Jur%C3%ADdica_Trabalhista-sample-epub.acsm?id=bs4iEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Pr%C3%A1tica_Jur%C3%ADdica_Trabalhista-sample-pdf.acsm?id=bs4iEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=bs4iEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;;;;
books#volume;Po0kEAAAQBAJ;jsRA2+NWZ+g;https://www.googleapis.com/books/v1/volumes/Po0kEAAAQBAJ;Compreendendo a língua que você fala: a gramática e o conceito de certo e errado;['Ernani Terra'];Saraiva Educação S.A.;2021-03-18;"Conhecer e usar com proficiência a língua é algo que vai muito além de conhecer regras que procuram ditar o que é certo e o que é errado. As pessoas acabam incorporando certas ideias que circulam socialmente, próprias do senso comum, e que não têm nenhum fundamento científico. Entre essas ideias, está a de que a língua não se altera. Associada a essa ideia, estão a de que há uma única maneira correta de se usar a língua e a de que conhecer a língua é conhecer uma infinidade de regras que são estabelecidas pelas gramáticas e por manuais de bom uso. Mas isso não é totalmente verdade. Então como usar a língua de maneira adequada? Esta obra, fundamentada nos estudos da ciência da linguagem, apresenta conceitos que permitirão ao leitor compreender melhor como funciona a língua que fala, a fim de poder usá-la com proficiência em todas as situações em que se interage socialmente, seja como falante ou ouvinte; seja como produtor de textos ou leitor. Afinal, falar, ouvir, ler e escrever são habilidades que permitem a socialização e isso se dá por meio da língua. Aqui serão abordados objetivamente, em linguagem simples, mas sem abrir mão do rigor conceitual, seis temas essenciais: variação linguística, norma linguística, norma culta, o português brasileiro, a gramática e o conceito de certo e errado em língua. Esses temas estão relacionados logicamente, partindo do princípio de que a língua não é homogênea, mas que ela varia em decorrência de diversos fatores, ou seja, a língua é um feixe de variedades.";[{'type': 'ISBN_13', 'identifier': '9786587958347'}, {'type': 'ISBN_10', 'identifier': '6587958346'}];True;True;BOOK;['Reference'];NOT_MATURE;False;1.3.3.0.preview.3;False;False;http://books.google.com/books/content?id=Po0kEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=Po0kEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=Po0kEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=7&source=gbs_api;https://play.google.com/store/books/details?id=Po0kEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=Po0kEAAAQBAJ;BR;FOR_SALE;True;14.9;BRL;14.9;BRL;https://play.google.com/store/books/details?id=Po0kEAAAQBAJ&rdid=book-Po0kEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 14900000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 14900000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/Compreendendo_a_l%C3%ADngua_que_voc%C3%AA_fala_a-sample-epub.acsm?id=Po0kEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Compreendendo_a_l%C3%ADngua_que_voc%C3%AA_fala_a-sample-pdf.acsm?id=Po0kEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=Po0kEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;Conhecer e usar com proficiência a língua é algo que vai muito além de conhecer regras que procuram ditar o que é certo e o que é errado.;;;;
books#volume;TyYhEAAAQBAJ;vUu/SSZpMHM;https://www.googleapis.com/books/v1/volumes/TyYhEAAAQBAJ;CLT Saraiva e Constituição Federal - Tradicional;['Saraiva Educacao'];Saraiva Educação S.A.;2021-03-16;;[{'type': 'ISBN_13', 'identifier': '9786555594348'}, {'type': 'ISBN_10', 'identifier': '6555594349'}];True;True;BOOK;['Reference'];NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=TyYhEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=TyYhEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;en;http://books.google.com.br/books?id=TyYhEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=8&source=gbs_api;https://play.google.com/store/books/details?id=TyYhEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=TyYhEAAAQBAJ;BR;FOR_SALE;True;132.0;BRL;132.0;BRL;https://play.google.com/store/books/details?id=TyYhEAAAQBAJ&rdid=book-TyYhEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 132000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 132000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/CLT_Saraiva_e_Constitui%C3%A7%C3%A3o_Federal_Tra-sample-epub.acsm?id=TyYhEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/CLT_Saraiva_e_Constitui%C3%A7%C3%A3o_Federal_Tra-sample-pdf.acsm?id=TyYhEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=TyYhEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;;;;
books#volume;YM4iEAAAQBAJ;K+SKanrrqGY;https://www.googleapis.com/books/v1/volumes/YM4iEAAAQBAJ;Vade Mecum Trabalhista - Temático - 5ª Edição 2021;['Saraiva Educacao'];Saraiva Educação S.A.;2021-03-12;;[{'type': 'ISBN_13', 'identifier': '9786555594294'}, {'type': 'ISBN_10', 'identifier': '6555594292'}];True;True;BOOK;['Reference'];NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=YM4iEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=YM4iEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=YM4iEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=9&source=gbs_api;https://play.google.com/store/books/details?id=YM4iEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=YM4iEAAAQBAJ;BR;FOR_SALE;True;119.0;BRL;119.0;BRL;https://play.google.com/store/books/details?id=YM4iEAAAQBAJ&rdid=book-YM4iEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 119000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 119000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/Vade_Mecum_Trabalhista_Tem%C3%A1tico_5%C2%AA_Edi-sample-epub.acsm?id=YM4iEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Vade_Mecum_Trabalhista_Tem%C3%A1tico_5%C2%AA_Edi-sample-pdf.acsm?id=YM4iEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=YM4iEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;;;;
books#volume;QyYhEAAAQBAJ;bwn84pkPZkg;https://www.googleapis.com/books/v1/volumes/QyYhEAAAQBAJ;Vade Mecum Administração - Temático - 5ª Edição 2021;['Saraiva Educacao'];Saraiva Educação S.A.;2021-03-11;;[{'type': 'ISBN_13', 'identifier': '9786555594218'}, {'type': 'ISBN_10', 'identifier': '6555594217'}];True;True;BOOK;['Reference'];NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=QyYhEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=QyYhEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=QyYhEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=10&source=gbs_api;https://play.google.com/store/books/details?id=QyYhEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=QyYhEAAAQBAJ;BR;FOR_SALE;True;119.0;BRL;119.0;BRL;https://play.google.com/store/books/details?id=QyYhEAAAQBAJ&rdid=book-QyYhEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 119000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 119000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/Vade_Mecum_Administra%C3%A7%C3%A3o_Tem%C3%A1tico_5%C2%AA-sample-epub.acsm?id=QyYhEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Vade_Mecum_Administra%C3%A7%C3%A3o_Tem%C3%A1tico_5%C2%AA-sample-pdf.acsm?id=QyYhEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=QyYhEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;;;;
books#volume;cs4iEAAAQBAJ;s7rQ4GqZnxU;https://www.googleapis.com/books/v1/volumes/cs4iEAAAQBAJ;Equipes que fazem a diferença (Team building);['Willian G Dyer', 'Jeffrey H. Dyer'];Saraiva Educação S.A.;2021-03-11;;[{'type': 'ISBN_13', 'identifier': '9788502109827'}, {'type': 'ISBN_10', 'identifier': '8502109820'}];True;True;BOOK;['Reference'];NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=cs4iEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=cs4iEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;pt;http://books.google.com.br/books?id=cs4iEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=11&source=gbs_api;https://play.google.com/store/books/details?id=cs4iEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=cs4iEAAAQBAJ;BR;FOR_SALE;True;37.0;BRL;37.0;BRL;https://play.google.com/store/books/details?id=cs4iEAAAQBAJ&rdid=book-cs4iEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 37000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 37000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/Equipes_que_fazem_a_diferen%C3%A7a_Team_buil-sample-epub.acsm?id=cs4iEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Equipes_que_fazem_a_diferen%C3%A7a_Team_buil-sample-pdf.acsm?id=cs4iEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=cs4iEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;Estratégias comprovadas para desenvolver equipes de alta performance;;;
books#volume;USYhEAAAQBAJ;wFCNhSV253g;https://www.googleapis.com/books/v1/volumes/USYhEAAAQBAJ;Segurança e Medicina do Trabalho;['Saraiva Educacao'];Saraiva Educação S.A.;2021-03-10;;[{'type': 'ISBN_13', 'identifier': '9786555595635'}, {'type': 'ISBN_10', 'identifier': '6555595639'}];True;True;BOOK;['Reference'];NOT_MATURE;False;1.1.1.0.preview.3;False;False;http://books.google.com/books/content?id=USYhEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api;http://books.google.com/books/content?id=USYhEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;en;http://books.google.com.br/books?id=USYhEAAAQBAJ&printsec=frontcover&dq=inpublisher:Saraiva+Educa%C3%A7%C3%A3o&hl=&cd=12&source=gbs_api;https://play.google.com/store/books/details?id=USYhEAAAQBAJ&source=gbs_api;https://play.google.com/store/books/details?id=USYhEAAAQBAJ;BR;FOR_SALE;True;97.0;BRL;97.0;BRL;https://play.google.com/store/books/details?id=USYhEAAAQBAJ&rdid=book-USYhEAAAQBAJ&rdot=1&source=gbs_api;[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 97000000, 'currencyCode': 'BRL'}, 'retailPrice': {'amountInMicros': 97000000, 'currencyCode': 'BRL'}, 'giftable': True}];BR;PARTIAL;True;False;ALLOWED;True;http://books.google.com.br/books/download/Seguran%C3%A7a_e_Medicina_do_Trabalho-sample-epub.acsm?id=USYhEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Seguran%C3%A7a_e_Medicina_do_Trabalho-sample-pdf.acsm?id=USYhEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=USYhEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api;SAMPLE;False;;;;;
